Foot MoveType type enum move-type
-24 8 -23 9 2 add
-24 8 -23 10 3 add
-24 8 -23 11 4 add
-24 8 -23 12 5 add
-24 8 -23 13 6 add
-24 8 -23 14 7 add
-24 8 -23 15 8 add
-24 8 -23 16 9 add
-24 8 -22 13 7 add
-24 8 -22 14 8 add
-24 8 -22 15 9 add
-24 8 -21 13 8 add
-24 8 -21 14 9 add
-24 8 -21 15 10 add
-24 8 -20 13 9 add
-24 8 -20 14 10 add
-24 8 -20 15 11 add
-24 8 -24 10 3 add
-24 8 -24 11 5 add
-24 8 -24 12 7 add
-24 8 -24 13 8 add
-24 8 -23 17 11 add
-24 8 -22 8 3 add
-24 8 -22 9 4 add
-24 8 -22 10 5 add
-24 8 -22 16 11 add
-24 8 -22 17 13 add
-24 8 -19 13 11 add
-24 8 -19 14 12 add
-24 8 -19 15 13 add
-24 8 -18 13 13 add
-24 8 -18 14 14 add
-24 8 -18 15 15 add
-24 8 -18 16 17 add
-24 8 -17 13 15 add
-24 8 -17 14 16 add
-24 8 -17 15 17 add
-24 8 -17 16 19 add
-24 8 -16 13 17 add
-24 8 -16 14 18 add
-24 8 -16 15 19 add
-24 8 -16 16 21 add
-24 8 -16 17 23 add
-24 8 -15 13 19 add
-24 8 -15 14 20 add
-24 8 -15 15 21 add
-24 8 -15 16 23 add
-24 14 -24 14 0 add
-24 14 -24 16 2 add
-24 14 -24 15 1 add
-24 14 -23 13 2 add
-24 14 -23 14 1 add
-24 14 -23 15 2 add
-24 14 -23 16 3 add
-24 14 -22 13 3 add
-24 14 -22 14 2 add
-24 14 -22 15 3 add
-24 14 -21 13 4 add
-24 14 -21 14 3 add
-24 14 -21 15 4 add
-24 14 -20 13 5 add
-24 14 -20 14 4 add
-24 14 -20 15 5 add
-24 14 -24 12 4 add
-24 14 -24 13 2 add
-24 14 -24 17 4 add
-24 14 -24 18 6 add
-24 14 -24 19 8 add
-24 14 -23 17 5 add
-24 14 -22 16 5 add
-24 14 -22 17 7 add
-24 14 -19 13 7 add
-24 14 -19 14 6 add
-24 14 -19 15 7 add
-24 14 -18 13 9 add
-24 14 -18 14 8 add
-24 14 -18 15 9 add
-24 14 -18 16 11 add
-24 14 -17 13 11 add
-24 14 -17 14 10 add
-24 14 -17 15 11 add
-24 14 -17 16 13 add
-24 14 -16 13 13 add
-24 14 -16 14 12 add
-24 14 -16 15 13 add
-24 14 -16 16 15 add
-24 14 -16 17 17 add
-24 14 -15 13 15 add
-24 14 -15 14 14 add
-24 14 -15 15 15 add
-24 14 -15 16 17 add
-24 16 -24 14 2 add
-24 16 -24 16 0 add
-24 16 -24 15 1 add
-24 16 -23 13 4 add
-24 16 -23 14 3 add
-24 16 -23 15 2 add
-24 16 -23 16 1 add
-24 16 -22 13 5 add
-24 16 -22 14 4 add
-24 16 -22 15 3 add
-24 16 -21 13 6 add
-24 16 -21 14 5 add
-24 16 -21 15 4 add
-24 16 -20 13 7 add
-24 16 -20 14 6 add
-24 16 -20 15 5 add
-24 16 -24 12 6 add
-24 16 -24 13 4 add
-24 16 -24 17 2 add
-24 16 -24 18 4 add
-24 16 -24 19 6 add
-24 16 -23 17 3 add
-24 16 -22 16 3 add
-24 16 -22 17 5 add
-24 16 -19 13 9 add
-24 16 -19 14 8 add
-24 16 -19 15 7 add
-24 16 -18 13 11 add
-24 16 -18 14 10 add
-24 16 -18 15 9 add
-24 16 -18 16 11 add
-24 16 -17 13 13 add
-24 16 -17 14 12 add
-24 16 -17 15 11 add
-24 16 -17 16 13 add
-24 16 -16 13 15 add
-24 16 -16 14 14 add
-24 16 -16 15 13 add
-24 16 -16 16 15 add
-24 16 -16 17 17 add
-24 16 -15 13 17 add
-24 16 -15 14 16 add
-24 16 -15 15 15 add
-24 16 -15 16 17 add
-24 9 -24 8 1 add
-24 9 -24 9 0 add
-24 9 -23 8 2 add
-24 9 -23 9 1 add
-24 9 -23 10 2 add
-24 9 -23 11 3 add
-24 9 -23 12 4 add
-24 9 -23 13 5 add
-24 9 -23 14 6 add
-24 9 -23 15 7 add
-24 9 -23 16 8 add
-24 9 -22 13 6 add
-24 9 -22 14 7 add
-24 9 -22 15 8 add
-24 9 -21 13 7 add
-24 9 -21 14 8 add
-24 9 -21 15 9 add
-24 9 -20 13 8 add
-24 9 -20 14 9 add
-24 9 -20 15 10 add
-24 9 -24 10 2 add
-24 9 -24 11 4 add
-24 9 -24 12 6 add
-24 9 -24 13 7 add
-24 9 -23 17 10 add
-24 9 -22 8 4 add
-24 9 -22 9 3 add
-24 9 -22 10 4 add
-24 9 -22 16 10 add
-24 9 -22 17 12 add
-24 9 -19 13 10 add
-24 9 -19 14 11 add
-24 9 -19 15 12 add
-24 9 -18 13 12 add
-24 9 -18 14 13 add
-24 9 -18 15 14 add
-24 9 -18 16 16 add
-24 9 -17 13 14 add
-24 9 -17 14 15 add
-24 9 -17 15 16 add
-24 9 -17 16 18 add
-24 9 -16 13 16 add
-24 9 -16 14 17 add
-24 9 -16 15 18 add
-24 9 -16 16 20 add
-24 9 -16 17 22 add
-24 9 -15 13 18 add
-24 9 -15 14 19 add
-24 9 -15 15 20 add
-24 9 -15 16 22 add
-24 15 -24 14 1 add
-24 15 -24 16 1 add
-24 15 -24 15 0 add
-24 15 -23 13 3 add
-24 15 -23 14 2 add
-24 15 -23 15 1 add
-24 15 -23 16 2 add
-24 15 -22 13 4 add
-24 15 -22 14 3 add
-24 15 -22 15 2 add
-24 15 -21 13 5 add
-24 15 -21 14 4 add
-24 15 -21 15 3 add
-24 15 -20 13 6 add
-24 15 -20 14 5 add
-24 15 -20 15 4 add
-24 15 -24 12 5 add
-24 15 -24 13 3 add
-24 15 -24 17 3 add
-24 15 -24 18 5 add
-24 15 -24 19 7 add
-24 15 -23 17 4 add
-24 15 -22 16 4 add
-24 15 -22 17 6 add
-24 15 -19 13 8 add
-24 15 -19 14 7 add
-24 15 -19 15 6 add
-24 15 -18 13 10 add
-24 15 -18 14 9 add
-24 15 -18 15 8 add
-24 15 -18 16 10 add
-24 15 -17 13 12 add
-24 15 -17 14 11 add
-24 15 -17 15 10 add
-24 15 -17 16 12 add
-24 15 -16 13 14 add
-24 15 -16 14 13 add
-24 15 -16 15 12 add
-24 15 -16 16 14 add
-24 15 -16 17 16 add
-24 15 -15 13 16 add
-24 15 -15 14 15 add
-24 15 -15 15 14 add
-24 15 -15 16 16 add
-24 20 -24 20 0 add
-24 20 -24 21 1 add
-24 20 -24 22 2 add
-24 20 -23 19 2 add
-24 20 -23 20 1 add
-24 20 -23 21 2 add
-24 20 -23 22 3 add
-24 20 -23 23 4 add
-24 20 -23 24 5 add
-24 20 -22 19 3 add
-24 20 -22 20 2 add
-24 20 -22 21 3 add
-24 20 -22 22 4 add
-24 20 -22 23 5 add
-24 20 -22 24 6 add
-24 20 -22 25 7 add
-24 20 -22 26 8 add
-24 20 -21 19 4 add
-24 20 -21 20 3 add
-24 20 -21 21 4 add
-24 20 -21 24 7 add
-24 20 -21 25 8 add
-24 20 -20 19 5 add
-24 20 -20 20 4 add
-24 20 -20 21 5 add
-24 20 -19 19 6 add
-24 20 -19 20 5 add
-24 20 -19 21 6 add
-24 20 -19 22 7 add
-24 20 -19 23 8 add
-24 20 -19 24 9 add
-24 20 -18 19 7 add
-24 20 -18 20 6 add
-24 20 -18 21 7 add
-24 20 -18 22 8 add
-24 20 -18 23 9 add
-24 20 -18 24 10 add
-24 20 -18 25 11 add
-24 20 -17 19 8 add
-24 20 -17 20 7 add
-24 20 -17 21 8 add
-24 20 -17 22 9 add
-24 20 -17 23 10 add
-24 20 -17 24 11 add
-24 20 -17 25 12 add
-24 20 -16 19 9 add
-24 20 -16 21 9 add
-24 20 -16 22 10 add
-24 20 -16 23 11 add
-24 20 -16 24 12 add
-24 20 -16 25 13 add
-24 20 -15 19 10 add
-24 20 -15 20 11 add
-24 20 -15 21 10 add
-24 20 -15 22 11 add
-24 20 -15 23 12 add
-24 20 -15 24 13 add
-24 20 -15 25 14 add
-24 20 -14 19 11 add
-24 20 -14 20 12 add
-24 20 -14 21 11 add
-24 20 -14 25 15 add
-24 20 -20 23 9 add
-24 20 -20 24 8 add
-24 20 -20 25 9 add
-24 20 -20 26 10 add
-24 20 -19 26 11 add
-24 20 -18 26 12 add
-24 20 -17 26 13 add
-24 20 -16 26 14 add
-24 20 -15 26 15 add
-24 20 -14 18 12 add
-24 20 -24 24 7 add
-24 20 -24 25 9 add
-24 20 -24 26 11 add
-24 20 -13 18 14 add
-24 20 -13 19 13 add
-24 20 -12 19 15 add
-24 20 -12 20 17 add
-24 20 -11 19 17 add
-24 20 -11 20 19 add
-24 20 -11 21 21 add
-24 20 -11 22 23 add
-24 20 -11 23 25 add
-24 20 -10 19 19 add
-24 20 -24 18 4 add
-24 20 -24 19 2 add
-24 20 -24 23 4 add
-24 20 -23 25 7 add
-24 20 -23 26 9 add
-24 20 -21 22 6 add
-24 20 -20 22 7 add
-24 20 -19 25 11 add
-24 20 -16 20 9 add
-24 20 -14 22 13 add
-24 20 -14 23 14 add
-24 20 -14 24 15 add
-24 20 -13 20 14 add
-24 20 -13 21 13 add
-24 20 -13 23 16 add
-24 20 -13 24 17 add
-24 20 -12 21 15 add
-24 20 -12 22 17 add
-24 20 -12 23 18 add
-24 20 -13 25 16 add
-24 20 -14 26 16 add
-24 20 -21 26 9 add
-24 20 -21 23 6 add
-24 21 -24 20 1 add
-24 21 -24 21 0 add
-24 21 -24 22 1 add
-24 21 -23 19 3 add
-24 21 -23 20 2 add
-24 21 -23 21 1 add
-24 21 -23 22 2 add
-24 21 -23 23 3 add
-24 21 -23 24 4 add
-24 21 -22 19 4 add
-24 21 -22 20 3 add
-24 21 -22 21 2 add
-24 21 -22 22 3 add
-24 21 -22 23 4 add
-24 21 -22 24 5 add
-24 21 -22 25 6 add
-24 21 -22 26 7 add
-24 21 -21 19 5 add
-24 21 -21 20 4 add
-24 21 -21 21 3 add
-24 21 -21 24 6 add
-24 21 -21 25 7 add
-24 21 -20 19 6 add
-24 21 -20 20 5 add
-24 21 -20 21 4 add
-24 21 -19 19 7 add
-24 21 -19 20 6 add
-24 21 -19 21 5 add
-24 21 -19 22 6 add
-24 21 -19 23 7 add
-24 21 -19 24 8 add
-24 21 -18 19 8 add
-24 21 -18 20 7 add
-24 21 -18 21 6 add
-24 21 -18 22 7 add
-24 21 -18 23 8 add
-24 21 -18 24 9 add
-24 21 -18 25 10 add
-24 21 -17 19 9 add
-24 21 -17 20 8 add
-24 21 -17 21 7 add
-24 21 -17 22 8 add
-24 21 -17 23 9 add
-24 21 -17 24 10 add
-24 21 -17 25 11 add
-24 21 -16 19 10 add
-24 21 -16 21 8 add
-24 21 -16 22 9 add
-24 21 -16 23 10 add
-24 21 -16 24 11 add
-24 21 -16 25 12 add
-24 21 -15 19 11 add
-24 21 -15 20 12 add
-24 21 -15 21 9 add
-24 21 -15 22 10 add
-24 21 -15 23 11 add
-24 21 -15 24 12 add
-24 21 -15 25 13 add
-24 21 -14 19 12 add
-24 21 -14 20 13 add
-24 21 -14 21 10 add
-24 21 -14 25 14 add
-24 21 -20 23 8 add
-24 21 -20 24 7 add
-24 21 -20 25 8 add
-24 21 -20 26 9 add
-24 21 -19 26 10 add
-24 21 -18 26 11 add
-24 21 -17 26 12 add
-24 21 -16 26 13 add
-24 21 -15 26 14 add
-24 21 -14 18 13 add
-24 21 -24 24 6 add
-24 21 -24 25 8 add
-24 21 -24 26 10 add
-24 21 -13 18 15 add
-24 21 -13 19 14 add
-24 21 -12 19 16 add
-24 21 -12 20 18 add
-24 21 -11 19 18 add
-24 21 -11 20 20 add
-24 21 -11 21 22 add
-24 21 -11 22 24 add
-24 21 -11 23 26 add
-24 21 -10 19 20 add
-24 21 -24 18 5 add
-24 21 -24 19 3 add
-24 21 -24 23 3 add
-24 21 -23 25 6 add
-24 21 -23 26 8 add
-24 21 -21 22 5 add
-24 21 -20 22 6 add
-24 21 -19 25 10 add
-24 21 -16 20 10 add
-24 21 -14 22 12 add
-24 21 -14 23 13 add
-24 21 -14 24 14 add
-24 21 -13 20 15 add
-24 21 -13 21 12 add
-24 21 -13 23 15 add
-24 21 -13 24 16 add
-24 21 -12 21 14 add
-24 21 -12 22 16 add
-24 21 -12 23 17 add
-24 21 -13 25 15 add
-24 21 -14 26 15 add
-24 21 -21 26 8 add
-24 21 -21 23 5 add
-24 22 -24 20 2 add
-24 22 -24 21 1 add
-24 22 -24 22 0 add
-24 22 -23 19 4 add
-24 22 -23 20 3 add
-24 22 -23 21 2 add
-24 22 -23 22 1 add
-24 22 -23 23 2 add
-24 22 -23 24 3 add
-24 22 -22 19 5 add
-24 22 -22 20 4 add
-24 22 -22 21 3 add
-24 22 -22 22 2 add
-24 22 -22 23 3 add
-24 22 -22 24 4 add
-24 22 -22 25 5 add
-24 22 -22 26 6 add
-24 22 -21 19 6 add
-24 22 -21 20 5 add
-24 22 -21 21 4 add
-24 22 -21 24 5 add
-24 22 -21 25 6 add
-24 22 -20 19 7 add
-24 22 -20 20 6 add
-24 22 -20 21 5 add
-24 22 -19 19 8 add
-24 22 -19 20 7 add
-24 22 -19 21 6 add
-24 22 -19 22 7 add
-24 22 -19 23 8 add
-24 22 -19 24 9 add
-24 22 -18 19 9 add
-24 22 -18 20 8 add
-24 22 -18 21 7 add
-24 22 -18 22 8 add
-24 22 -18 23 9 add
-24 22 -18 24 10 add
-24 22 -18 25 11 add
-24 22 -17 19 10 add
-24 22 -17 20 9 add
-24 22 -17 21 8 add
-24 22 -17 22 9 add
-24 22 -17 23 10 add
-24 22 -17 24 11 add
-24 22 -17 25 12 add
-24 22 -16 19 11 add
-24 22 -16 21 9 add
-24 22 -16 22 10 add
-24 22 -16 23 11 add
-24 22 -16 24 12 add
-24 22 -16 25 13 add
-24 22 -15 19 12 add
-24 22 -15 20 13 add
-24 22 -15 21 10 add
-24 22 -15 22 11 add
-24 22 -15 23 12 add
-24 22 -15 24 13 add
-24 22 -15 25 14 add
-24 22 -14 19 13 add
-24 22 -14 20 14 add
-24 22 -14 21 11 add
-24 22 -14 25 15 add
-24 22 -20 23 9 add
-24 22 -20 24 6 add
-24 22 -20 25 7 add
-24 22 -20 26 8 add
-24 22 -19 26 9 add
-24 22 -18 26 10 add
-24 22 -17 26 11 add
-24 22 -16 26 12 add
-24 22 -15 26 13 add
-24 22 -14 18 14 add
-24 22 -24 24 4 add
-24 22 -24 25 6 add
-24 22 -24 26 8 add
-24 22 -13 18 16 add
-24 22 -13 19 15 add
-24 22 -12 19 17 add
-24 22 -12 20 19 add
-24 22 -11 19 19 add
-24 22 -11 20 21 add
-24 22 -11 21 23 add
-24 22 -11 22 25 add
-24 22 -11 23 27 add
-24 22 -10 19 21 add
-24 22 -24 18 6 add
-24 22 -24 19 4 add
-24 22 -24 23 2 add
-24 22 -23 25 5 add
-24 22 -23 26 7 add
-24 22 -21 22 4 add
-24 22 -20 22 6 add
-24 22 -19 25 9 add
-24 22 -16 20 11 add
-24 22 -14 22 13 add
-24 22 -14 23 14 add
-24 22 -14 24 15 add
-24 22 -13 20 16 add
-24 22 -13 21 13 add
-24 22 -13 23 16 add
-24 22 -13 24 17 add
-24 22 -12 21 15 add
-24 22 -12 22 17 add
-24 22 -12 23 18 add
-24 22 -13 25 16 add
-24 22 -14 26 14 add
-24 22 -21 26 7 add
-24 22 -21 23 4 add
-23 18 -23 18 0 add
-23 18 -23 19 1 add
-23 18 -23 20 2 add
-23 18 -23 21 3 add
-23 18 -23 22 4 add
-23 18 -23 23 5 add
-23 18 -23 24 6 add
-23 18 -22 18 1 add
-23 18 -22 19 2 add
-23 18 -22 20 3 add
-23 18 -22 21 4 add
-23 18 -22 22 5 add
-23 18 -22 23 6 add
-23 18 -22 24 7 add
-23 18 -22 25 8 add
-23 18 -22 26 9 add
-23 18 -21 18 2 add
-23 18 -21 19 3 add
-23 18 -21 20 4 add
-23 18 -21 21 5 add
-23 18 -21 24 8 add
-23 18 -21 25 9 add
-23 18 -20 18 3 add
-23 18 -20 19 4 add
-23 18 -20 20 5 add
-23 18 -20 21 6 add
-23 18 -19 18 4 add
-23 18 -19 19 5 add
-23 18 -19 20 6 add
-23 18 -19 21 7 add
-23 18 -19 22 8 add
-23 18 -19 23 9 add
-23 18 -19 24 10 add
-23 18 -18 18 5 add
-23 18 -18 19 6 add
-23 18 -18 20 7 add
-23 18 -18 21 8 add
-23 18 -18 22 9 add
-23 18 -18 23 10 add
-23 18 -18 24 11 add
-23 18 -18 25 12 add
-23 18 -17 18 6 add
-23 18 -17 19 7 add
-23 18 -17 20 8 add
-23 18 -17 21 9 add
-23 18 -17 22 10 add
-23 18 -17 23 11 add
-23 18 -17 24 12 add
-23 18 -17 25 13 add
-23 18 -16 18 7 add
-23 18 -16 19 8 add
-23 18 -16 21 10 add
-23 18 -16 22 11 add
-23 18 -16 23 12 add
-23 18 -16 24 13 add
-23 18 -16 25 14 add
-23 18 -15 18 8 add
-23 18 -15 19 9 add
-23 18 -15 20 10 add
-23 18 -15 21 11 add
-23 18 -15 22 12 add
-23 18 -15 23 13 add
-23 18 -15 24 14 add
-23 18 -15 25 15 add
-23 18 -14 19 10 add
-23 18 -14 20 11 add
-23 18 -14 21 12 add
-23 18 -14 25 16 add
-23 18 -23 16 3 add
-23 18 -20 23 10 add
-23 18 -20 24 9 add
-23 18 -20 25 10 add
-23 18 -20 26 11 add
-23 18 -19 26 12 add
-23 18 -18 26 13 add
-23 18 -17 26 14 add
-23 18 -16 26 15 add
-23 18 -15 17 9 add
-23 18 -15 26 16 add
-23 18 -14 17 10 add
-23 18 -14 18 9 add
-23 18 -24 24 8 add
-23 18 -24 25 10 add
-23 18 -24 26 12 add
-23 18 -13 18 11 add
-23 18 -13 19 12 add
-23 18 -12 19 14 add
-23 18 -12 20 16 add
-23 18 -11 19 16 add
-23 18 -11 20 18 add
-23 18 -11 21 20 add
-23 18 -11 22 22 add
-23 18 -11 23 24 add
-23 18 -10 19 18 add
-23 18 -24 17 4 add
-23 18 -24 18 2 add
-23 18 -24 19 3 add
-23 18 -24 23 7 add
-23 18 -23 17 2 add
-23 18 -23 25 8 add
-23 18 -23 26 10 add
-23 18 -22 16 5 add
-23 18 -22 17 3 add
-23 18 -21 22 7 add
-23 18 -20 22 8 add
-23 18 -19 25 12 add
-23 18 -16 17 9 add
-23 18 -16 20 10 add
-23 18 -15 16 11 add
-23 18 -14 22 14 add
-23 18 -14 23 15 add
-23 18 -14 24 16 add
-23 18 -13 20 13 add
-23 18 -13 21 14 add
-23 18 -13 23 17 add
-23 18 -13 24 18 add
-23 18 -12 21 16 add
-23 18 -12 22 18 add
-23 18 -12 23 19 add
-23 18 -13 25 17 add
-23 18 -14 26 17 add
-23 18 -21 26 10 add
-23 18 -21 23 7 add
-23 19 -24 20 2 add
-23 19 -24 21 3 add
-23 19 -24 22 4 add
-23 19 -23 18 1 add
-23 19 -23 19 0 add
-23 19 -23 20 1 add
-23 19 -23 21 2 add
-23 19 -23 22 3 add
-23 19 -23 23 4 add
-23 19 -23 24 5 add
-23 19 -22 18 2 add
-23 19 -22 19 1 add
-23 19 -22 20 2 add
-23 19 -22 21 3 add
-23 19 -22 22 4 add
-23 19 -22 23 5 add
-23 19 -22 24 6 add
-23 19 -22 25 7 add
-23 19 -22 26 8 add
-23 19 -21 18 3 add
-23 19 -21 19 2 add
-23 19 -21 20 3 add
-23 19 -21 21 4 add
-23 19 -21 24 7 add
-23 19 -21 25 8 add
-23 19 -20 18 4 add
-23 19 -20 19 3 add
-23 19 -20 20 4 add
-23 19 -20 21 5 add
-23 19 -19 18 5 add
-23 19 -19 19 4 add
-23 19 -19 20 5 add
-23 19 -19 21 6 add
-23 19 -19 22 7 add
-23 19 -19 23 8 add
-23 19 -19 24 9 add
-23 19 -18 18 6 add
-23 19 -18 19 5 add
-23 19 -18 20 6 add
-23 19 -18 21 7 add
-23 19 -18 22 8 add
-23 19 -18 23 9 add
-23 19 -18 24 10 add
-23 19 -18 25 11 add
-23 19 -17 18 7 add
-23 19 -17 19 6 add
-23 19 -17 20 7 add
-23 19 -17 21 8 add
-23 19 -17 22 9 add
-23 19 -17 23 10 add
-23 19 -17 24 11 add
-23 19 -17 25 12 add
-23 19 -16 18 8 add
-23 19 -16 19 7 add
-23 19 -16 21 9 add
-23 19 -16 22 10 add
-23 19 -16 23 11 add
-23 19 -16 24 12 add
-23 19 -16 25 13 add
-23 19 -15 18 9 add
-23 19 -15 19 8 add
-23 19 -15 20 9 add
-23 19 -15 21 10 add
-23 19 -15 22 11 add
-23 19 -15 23 12 add
-23 19 -15 24 13 add
-23 19 -15 25 14 add
-23 19 -14 19 9 add
-23 19 -14 20 10 add
-23 19 -14 21 11 add
-23 19 -14 25 15 add
-23 19 -23 16 4 add
-23 19 -20 23 9 add
-23 19 -20 24 8 add
-23 19 -20 25 9 add
-23 19 -20 26 10 add
-23 19 -19 26 11 add
-23 19 -18 26 12 add
-23 19 -17 26 13 add
-23 19 -16 26 14 add
-23 19 -15 17 10 add
-23 19 -15 26 15 add
-23 19 -14 17 11 add
-23 19 -14 18 10 add
-23 19 -24 24 7 add
-23 19 -24 25 9 add
-23 19 -24 26 11 add
-23 19 -13 18 12 add
-23 19 -13 19 11 add
-23 19 -12 19 13 add
-23 19 -12 20 15 add
-23 19 -11 19 15 add
-23 19 -11 20 17 add
-23 19 -11 21 19 add
-23 19 -11 22 21 add
-23 19 -11 23 23 add
-23 19 -10 19 17 add
-23 19 -24 17 5 add
-23 19 -24 18 3 add
-23 19 -24 19 2 add
-23 19 -24 23 6 add
-23 19 -23 17 3 add
-23 19 -23 25 7 add
-23 19 -23 26 9 add
-23 19 -22 16 6 add
-23 19 -22 17 4 add
-23 19 -21 22 6 add
-23 19 -20 22 7 add
-23 19 -19 25 11 add
-23 19 -16 17 10 add
-23 19 -16 20 9 add
-23 19 -15 16 12 add
-23 19 -14 22 13 add
-23 19 -14 23 14 add
-23 19 -14 24 15 add
-23 19 -13 20 12 add
-23 19 -13 21 13 add
-23 19 -13 23 16 add
-23 19 -13 24 17 add
-23 19 -12 21 15 add
-23 19 -12 22 17 add
-23 19 -12 23 18 add
-23 19 -13 25 16 add
-23 19 -14 26 16 add
-23 19 -21 26 9 add
-23 19 -21 23 6 add
-23 20 -24 20 1 add
-23 20 -24 21 2 add
-23 20 -24 22 3 add
-23 20 -23 18 2 add
-23 20 -23 19 1 add
-23 20 -23 20 0 add
-23 20 -23 21 1 add
-23 20 -23 22 2 add
-23 20 -23 23 3 add
-23 20 -23 24 4 add
-23 20 -22 18 3 add
-23 20 -22 19 2 add
-23 20 -22 20 1 add
-23 20 -22 21 2 add
-23 20 -22 22 3 add
-23 20 -22 23 4 add
-23 20 -22 24 5 add
-23 20 -22 25 6 add
-23 20 -22 26 7 add
-23 20 -21 18 4 add
-23 20 -21 19 3 add
-23 20 -21 20 2 add
-23 20 -21 21 3 add
-23 20 -21 24 6 add
-23 20 -21 25 7 add
-23 20 -20 18 5 add
-23 20 -20 19 4 add
-23 20 -20 20 3 add
-23 20 -20 21 4 add
-23 20 -19 18 6 add
-23 20 -19 19 5 add
-23 20 -19 20 4 add
-23 20 -19 21 5 add
-23 20 -19 22 6 add
-23 20 -19 23 7 add
-23 20 -19 24 8 add
-23 20 -18 18 7 add
-23 20 -18 19 6 add
-23 20 -18 20 5 add
-23 20 -18 21 6 add
-23 20 -18 22 7 add
-23 20 -18 23 8 add
-23 20 -18 24 9 add
-23 20 -18 25 10 add
-23 20 -17 18 8 add
-23 20 -17 19 7 add
-23 20 -17 20 6 add
-23 20 -17 21 7 add
-23 20 -17 22 8 add
-23 20 -17 23 9 add
-23 20 -17 24 10 add
-23 20 -17 25 11 add
-23 20 -16 18 9 add
-23 20 -16 19 8 add
-23 20 -16 21 8 add
-23 20 -16 22 9 add
-23 20 -16 23 10 add
-23 20 -16 24 11 add
-23 20 -16 25 12 add
-23 20 -15 18 10 add
-23 20 -15 19 9 add
-23 20 -15 20 10 add
-23 20 -15 21 9 add
-23 20 -15 22 10 add
-23 20 -15 23 11 add
-23 20 -15 24 12 add
-23 20 -15 25 13 add
-23 20 -14 19 10 add
-23 20 -14 20 11 add
-23 20 -14 21 10 add
-23 20 -14 25 14 add
-23 20 -23 16 5 add
-23 20 -20 23 8 add
-23 20 -20 24 7 add
-23 20 -20 25 8 add
-23 20 -20 26 9 add
-23 20 -19 26 10 add
-23 20 -18 26 11 add
-23 20 -17 26 12 add
-23 20 -16 26 13 add
-23 20 -15 17 11 add
-23 20 -15 26 14 add
-23 20 -14 17 12 add
-23 20 -14 18 11 add
-23 20 -24 24 6 add
-23 20 -24 25 8 add
-23 20 -24 26 10 add
-23 20 -13 18 13 add
-23 20 -13 19 12 add
-23 20 -12 19 14 add
-23 20 -12 20 16 add
-23 20 -11 19 16 add
-23 20 -11 20 18 add
-23 20 -11 21 20 add
-23 20 -11 22 22 add
-23 20 -11 23 24 add
-23 20 -10 19 18 add
-23 20 -24 17 6 add
-23 20 -24 18 4 add
-23 20 -24 19 3 add
-23 20 -24 23 5 add
-23 20 -23 17 4 add
-23 20 -23 25 6 add
-23 20 -23 26 8 add
-23 20 -22 16 7 add
